Common,POS_specific,NEG_specific
ABCF1,ACSL3,A0A024RAC6
ABCF2,AIFM1,ADAP1
ABT1,ALDH1B1,AGAP3
ACIN1,ANAPC1,ALKBH5
AFF4,ANAPC4,APOBEC3C
AKAP17A,ANAPC5,AQR
AP2A1,ANKHD1,ARRB1
AP2A2,AP1M1,BCAS2
AP2B1,AP3B1,BUD31
AP2M1,AP3D1,CAAP1
AP2S1,ARAF,CACTIN
ARHGEF2,ARK2N,CACYBP
ARRB2,ARL1,CAMKV
ATP5PO,ATP1A1,CARM1
BOP1,ATP2A2,CCAR1
BYSL,ATP5F1A,CCDC106
C1QBP,ATP5F1B,CCNB2
CCNB1,ATP5F1C,CCNG1
CCNK,ATP5MF,CCNL1
CCT4,ATXN10,CCNL2
CDK11B,B4DLN1,CCT7
CDK9,BAG2,CD2BP2
CEP170,C11orf98,CDC20
CHCHD2,C8orf33,CDK1
CHD1,CCDC47,CDK10
CLK3,CCT3,CDK12
CLPX,CCT6A,CDK2
COL1A1,CDC23,CDK5
COPA,CDK4,CFAP20
COPE,CEP78,CHEK1
CPSF2,CHTOP,CLK1
CPSF3,CKAP4,CLK2
CPSF4,CLPP,CLK4
CSNK1A1,CMSS1,CLPB
CSNK1E,CNP,CMTR1
CSNK1G3,COL1A2,CPSF1
CSNK2A1,COPB1,CPSF6
CSNK2A2,COPB2,CPSF7
CSNK2B,CSE1L,CRNKL1
CWC22,DDX21,CT45A10
CWC27,DDX24,CTNND1
DAP3,DDX27,CTU2
DARS2,DDX52,DAXX
DDB1,DHRS7B,DDX18
DDX10,DHX30,DDX23
DDX20,DHX36,DDX41
DDX39B,DIS3,DDX46
DDX47,DLD,DDX55
DDX49,DNAJA3,DEK
DDX50,DNAJB11,DKC1
DHX38,DNAJB6,DYRK2
DHX40,DNAJC10,EGLN1
DHX57,DPM1,EIF2S1
DIMT1,EIF3I,EIF2S2
DNAJA1,EMD,EMG1
DNAJA2,ERAL1,EPS15L1
DNAJC13,ERLIN2,ERCC3
DNAJC7,ESYT2,ERCC6L
DNAJC9,EXOC4,FAM76B
DNMT1,FANCI,FAM83D
DYNC2I1,FAR1,FBXO5
DYNC2I2,FARSA,FOXK1
DYNLL2,FASTKD5,FOXK2
ECT2,FBXL3,GRK5
EEFSEC,GALK1,GRK6
EFTUD2,GAR1,GTF2B
EIF2S3,GARS1,GTF2H1
EIF3D,GCDH,GTF2H4
EIF4A3,GCN1,GTF3C3
ELOB,GLUD1,H2BC20P
ELOC,GNL3,HMMR
ERI3,GNPAT,IPPK
FIP1L1,GTF3C2,JPH1
FTSJ3,GTF3C4,KATNA1
GEMIN4,GTPBP1,KATNB1
GPATCH8,H1-4,KIF2C
GRWD1,H3C1;,KIF5B
GSK3B,HACD3,KIFC1
GTF3C1,HBA1;,LANCL2
GTPBP4,HDAC1,LSM2
GTPBP6,HEATR1,LSM3
HERC5,HNRNPAB,LSM8
HNRNPA0,HNRNPD,MAP4K4
HNRNPLL,HNRNPUL1,MAPK1
HSPA4,HSD17B12,MARK3
IGF2BP3,HSPA4L,MCAT
IK,HSPA9,MCRS1
IQGAP1,HSPBP1,MMTAG2
IRS4,HSPH1,MORC2
JMJD6,IDH3B,MPG
KIF2A,ILF3,MRPL46
KPNA2,IPO5,MRPL48
KPNA3,ISOC2,MTERF1
KPNA4,KPNA1,MTMR1
LBR,LARP7,MTREX
LIG3,LPCAT1,NAA10
LRRC47,LRPPRC,NECAP1
LUC7L,LTV1,NHP2
LUC7L2,LYAR,NOSIP
LUC7L3,MAGED1,NSRP1
MAGOH,MAGED2,NUDT11
MELK,MAIP1,NUMB
MID1,MAP2K7,NUSAP1
MRPL15,MARS1,OBSL1
MRPL19,MLLT3,OCRL
MRPL39,MOGS,PDCD2
MRPL44,MOV10,PHF3
MRPL47,MRPL11,PICALM
MRPS14,MRPL16,PIP4K2A
MRPS16,MRPL17,PIP4K2C
MRPS17,MRPL20,PIP5K1A
MRPS2,MRPL28,PLCD3
MRPS22,MRPL3,PNISR
MRPS23,MRPL38,PPIH
MRPS24,MRPL40,PPIL4
MRPS25,MRPL43,PRPF3
MRPS26,MRPS15,PRPF38A
MRPS28,MRPS18B,PRPF38B
MRPS31,MRPS18C,PRPF4
MRPS34,MRPS27,PUS1
MRPS5,MRPS30,PYCR3
MRPS7,MRPS35,RBBP6
MRPS9,MSH6,RBM15
MSH2,MTPAP,RBM26
NFKBIL1,MYBBP1A,RBM39
NKTR,NAP1L3,RECQL4
NOP16,NAT10,RNF2
NPM3,NCAPD3,RNPC3
NSUN2,NKRF,RPL39
NSUN5,NME2,RPRD1A
NUDT21,NOM1,RPUSD3
PABPN1,NOP58,RRP1
PARP1,NOP9,RRP7A
PAXIP1,NR2F1,SART1
PDCD2L,NTPCR,SBF1
PELO,NUP133,SCAF1
PHF6,NUP205,SCAF11
PIP4K2B,NUP93,SCAF4
PLK1,PATL1,SDHB
PNN,PGAM5,SETD2
POLD1,PHAX,SFSWAP
POLDIP2,PHB2,SHMT2
POLRMT,PHGDH,SLIT2
POP1,PISD,SLTM
POP4,PLEKHG4,SMC5
PPIG,PNO1,SMU1
PPIL1,POLR2B,SNRNP40
PPP2R3B,PPP1CA,SNX8
PRC1,PPP2R2A,SON
PRP4K,PRKDC,SREK1
PRPF40A,PRRC2A,SRRM1
PRPF6,PSMA3,SRRM3
PRPF8,PSMB2,TBC1D10B
PSME3,PSMC3,TBCCD1
PTCD3,PSMC6,TFIP11
Q22222,PURA,THOC1
RBM23,PWP1,THOC5
RBM25,PYM1,TOPBP1
RBM42,RAB35,TP53
RBM8A,RACK1,TRIM14
RFC1,RAN,TRIP12
RFC2,RBM22,TRMT2B
RFC3,RBM4,TUT7
RFC4,RCL1,TXNL4A
RFC5,RCN2,U2AF1
RNF138,RNGTT,U2AF2
RNPS1,RO60,UPF1
RPP30,RPF2,USP42
RPP38,RPL19,USP46
RPS21,RPL23A,UTP15
RPS23,RPL26,UTP6
RPS28,RPN1,VANGL1
RRP12,RPP14,WDR33
RSL1D1,RPP40,WTAP
SAP18,RPS12,XAB2
SAP30BP,RPS15,ZC3H13
SARS2,RPSA,ZNF638
SGPL1,RUVBL1,ZNF771
SMAD3,SAMHD1,
SMC2,SART3,
SMC4,SEC61A1,
SNIP1,SERPINB12,
SNRNP200,SLC16A1,
SNRNP70,SLC1A5,
SNRPA,SLC25A1,
SNRPE,SLC25A11,
SNW1,SLC25A12,
SRP14,SLC25A13,
SRP9,SLC25A22,
SRPK1,SLC25A3,
SRPK2,SLU7,
SRRM2,SLX9,
SRRT,SMC1A,
SRSF1,SMC3,
SRSF11,SPTLC1,
SRSF3,SRPRA,
SRSF5,SRPRB,
SRSF6,SRSF4,
SSB,SRSF7,
SSRP1,SSBP1,
TAF15,SSR4,
TBL2,STAU1,
TCAF1,STUB1,
TCERG1,SUPT16H,
TCP1,SYNCRIP,
TFB1M,TARS2,
THOC2,TCF25,
THOC6,TECR,
TMA16,TELO2,
TMEM229A,TFB2M,
TNKS,THEM6,
TNKS2,TIMM23,
TOE1,TIMM50,
TOP1,TMCO1,
TRIM28,TMEM33,
TRMT1L,TRA2B,
TSPYL1,TRIP13,
TSR1,TRMT2A,
TTC14,TTC27,
TYW3,TTC4,
UBE2O,TUBB6,
UPF2,TUBGCP2,
UPF3B,UBTF,
USP39,UCK2,
USP7,UQCRC2,
USP9X,USP22,
UTP14A,XPO1,
WDR20,XPO5,
WDR48,XPOT,
WDR6,YBX1,
ZC3H18,YBX3,
ZC3HAV1,YTHDC2,
ZFP64,YTHDF2,
ZNF629,YWHAB,
ZNF787,YWHAE,
ZNHIT6,YWHAG,
,YWHAH,
,YWHAQ,
,YWHAZ,
,ZNF281,
,ZNF460,
,ZNF664,
,ZNF791,
