Common,POS_specific,NEG_specific
B2RXF0,A0A499FIX8,A0A024RAC6
O00139-2,B4DLN1,A0A087WXA3
O00411,E9PRG8,A9Z1X7
O00422,J3KRS1,O14757
O00425,O00178,O43172
O00505,O00203,O43290
O00629,O00410,O43395
O14579,O14617,O43447
O14646,O14733,O60306
O14654,O14925,O60716
O14776,O14980,O60832
O15344,O15226,O75147
O15371,O15228,O75330
O43414,O15269,O75449
O43663-3,O43175,O75689
O43809,O43592,O75934
O43824,O43837,O94761
O60783,O60506-3,O94813
O60884,O60762,O95067
O75165,O60942,O95104
O75400,O75190,O95248
O75607,O75616,O95400
O75643,O75746,O95777
O75909-4,O75818,O95819
O76021,O94905,P04637
O76031,O95059,P05198
O94906,O95391,P06493
O94973,O95573,P0DMU9
O95232,O95757,P18583
O95271,O95793,P19447
O95347,O95801,P20042
O95470,O95816,P21912
O95639,O95831,P24941
O95707,P00367,P26368
O95782,P04843,P27448
P02452,P05023,P28482
P05455,P06576,P29372
P08621,P08123,P32780
P09012,P08240,P33176
P09874,P08865,P34897
P11387,P09001,P34947
P14635,P09543,P35659
P17987,P09622,P41223
P19784,P10155,P41227
P21127-2,P10398,P42285
P26358,P10412,P43250-2
P28340,P10589,P48426
P30414,P11802,P49407
P31689,P16615,P49757
P32121,P16989,P49759
P34932,P17480,P49760
P35249,P17980,P51959
P35250,P22392-2,P56182
P35251,P22695,P62068
P37108,P25398,P62310
P38919,P25705,P62891
P40937,P25788,P83876
P40938,P27348,P85037
P41091,P30837,Q00403
P43246,P30876,Q00535
P46940,P31946-2,Q01081
P48047,P35606,Q01167
P48729-3,P36542,Q01968
P49406,P38646,Q10570
P49458,P40227,Q12834
P49674,P40616,Q12872
P49756,P41250,Q13492
P49761,P42568,Q13613
P49841,P42695,Q13769
P49916,P42704,Q14142
P50750,P48634,Q14498
P50991,P49368,Q14669
P51398,P49721,Q14966
P52292,P50402,Q15007
P53350,P51570,Q15131
P53621,P51571,Q16342
P53680,P52294,Q16630
P57678,P52701,Q2NKX8
P57772,P53007,Q2TAY7
P61289,P53618,Q2VPK5
P61326,P53985,Q4KMP7
P62266,P55060,Q53H96
P62304,P56134,Q5HYJ3
P62857,P56192,Q5JY65
P63010,P57088,Q5T200
P63220,P61254,Q5T8P6
P67870,P61619,Q5VTL8
P68400,P61981,Q5VYS8
P78345,P62136,Q6DN03
P78346,P62258,Q6P087
P78356,P62333,Q6P6C2
P78362-2,P62750,Q7L014
P82650,P62826,Q7L3S4
P82663,P62841,Q7Z6E9
P82675,P62995,Q86X55
P82930,P63104,Q8IVS2
P82933,P63151,Q8IX12
P84022,P63244,Q8IY18
P84103-2,P67809,Q8N1G2
Q02040,P68431,Q8N3E9
Q05519,P69905,Q8N684
Q07021,P78527,Q8NAV1
Q07955,P82673,Q8NC96
Q08945,P82914,Q8NCB2
Q08J23,P84098,Q8NHQ9
