gene	ex15_list	in_roth_all_baits	in_roth_chtop_sap30bp	in_mabin_all_ejcs	in_mabin_alternate_only	n_roth_scopes	n_mabin_scopes	in_roth	in_mabin	tier
ACSL3	POS_specific	False	False	False	False	0	0	False	False	D
AIFM1	POS_specific	False	False	False	False	0	0	False	False	D
ALDH1B1	POS_specific	False	False	False	False	0	0	False	False	D
ANAPC1	POS_specific	False	False	False	False	0	0	False	False	D
ANAPC4	POS_specific	False	False	False	False	0	0	False	False	D
ANAPC5	POS_specific	False	False	False	False	0	0	False	False	D
ANKHD1	POS_specific	False	False	False	False	0	0	False	False	D
AP1M1	POS_specific	False	False	False	False	0	0	False	False	D
AP3B1	POS_specific	False	False	False	False	0	0	False	False	D
AP3D1	POS_specific	False	False	False	False	0	0	False	False	D
ARAF	POS_specific	False	False	False	False	0	0	False	False	D
ARK2N	POS_specific	False	False	False	False	0	0	False	False	D
ARL1	POS_specific	False	False	False	False	0	0	False	False	D
ATP1A1	POS_specific	False	False	False	False	0	0	False	False	D
ATP2A2	POS_specific	False	False	False	False	0	0	False	False	D
ATP5F1A	POS_specific	False	False	False	False	0	0	False	False	D
ATP5F1B	POS_specific	False	False	False	False	0	0	False	False	D
ATP5F1C	POS_specific	False	False	False	False	0	0	False	False	D
ATP5MF	POS_specific	False	False	False	False	0	0	False	False	D
ATXN10	POS_specific	True	False	False	False	1	0	True	False	C
B4DLN1	POS_specific	False	False	False	False	0	0	False	False	D
BAG2	POS_specific	False	False	False	False	0	0	False	False	D
C11orf98	POS_specific	False	False	False	False	0	0	False	False	D
C8orf33	POS_specific	False	False	False	False	0	0	False	False	D
CCDC47	POS_specific	False	False	False	False	0	0	False	False	D
CCT3	POS_specific	False	False	False	False	0	0	False	False	D
CCT6A	POS_specific	False	False	False	False	0	0	False	False	D
CDC23	POS_specific	False	False	False	False	0	0	False	False	D
CDK4	POS_specific	False	False	False	False	0	0	False	False	D
CEP78	POS_specific	False	False	False	False	0	0	False	False	D
CHTOP	POS_specific	False	False	False	False	0	0	False	False	D
CKAP4	POS_specific	False	False	False	False	0	0	False	False	D
CLPP	POS_specific	False	False	False	False	0	0	False	False	D
CMSS1	POS_specific	False	False	False	False	0	0	False	False	D
CNP	POS_specific	False	False	False	False	0	0	False	False	D
COL1A2	POS_specific	False	False	False	False	0	0	False	False	D
COPB1	POS_specific	False	False	False	False	0	0	False	False	D
COPB2	POS_specific	False	False	False	False	0	0	False	False	D
CSE1L	POS_specific	False	False	False	False	0	0	False	False	D
DDX21	POS_specific	False	False	False	False	0	0	False	False	D
DDX24	POS_specific	False	False	False	False	0	0	False	False	D
DDX27	POS_specific	False	False	False	False	0	0	False	False	D
DDX52	POS_specific	False	False	False	False	0	0	False	False	D
DHRS7B	POS_specific	False	False	False	False	0	0	False	False	D
