gene	ex15_list	in_roth_all_baits	in_roth_chtop_sap30bp	in_mabin_all_ejcs	in_mabin_alternate_only	n_roth_scopes	n_mabin_scopes	in_roth	in_mabin	tier
DHX30	POS_specific	False	False	False	False	0	0	False	False	D
DHX36	POS_specific	False	False	False	False	0	0	False	False	D
DIS3	POS_specific	False	False	False	False	0	0	False	False	D
DLD	POS_specific	False	False	False	False	0	0	False	False	D
DNAJA3	POS_specific	False	False	False	False	0	0	False	False	D
DNAJB11	POS_specific	False	False	False	False	0	0	False	False	D
DNAJB6	POS_specific	False	False	False	False	0	0	False	False	D
DNAJC10	POS_specific	False	False	False	False	0	0	False	False	D
DPM1	POS_specific	False	False	False	False	0	0	False	False	D
EIF3I	POS_specific	False	False	False	False	0	0	False	False	D
EMD	POS_specific	False	False	False	False	0	0	False	False	D
ERAL1	POS_specific	False	False	False	False	0	0	False	False	D
ERLIN2	POS_specific	False	False	False	False	0	0	False	False	D
ESYT2	POS_specific	False	False	False	False	0	0	False	False	D
EXOC4	POS_specific	False	False	False	False	0	0	False	False	D
FANCI	POS_specific	False	False	False	False	0	0	False	False	D
FAR1	POS_specific	False	False	False	False	0	0	False	False	D
FARSA	POS_specific	False	False	False	False	0	0	False	False	D
FASTKD5	POS_specific	False	False	False	False	0	0	False	False	D
FBXL3	POS_specific	False	False	False	False	0	0	False	False	D
GALK1	POS_specific	False	False	False	False	0	0	False	False	D
GAR1	POS_specific	False	False	False	False	0	0	False	False	D
GARS1	POS_specific	False	False	False	False	0	0	False	False	D
GCDH	POS_specific	False	False	False	False	0	0	False	False	D
GCN1	POS_specific	False	False	False	False	0	0	False	False	D
GLUD1	POS_specific	False	False	False	False	0	0	False	False	D
GNL3	POS_specific	False	False	False	False	0	0	False	False	D
GNPAT	POS_specific	False	False	False	False	0	0	False	False	D
GTF3C2	POS_specific	False	False	False	False	0	0	False	False	D
GTF3C4	POS_specific	False	False	False	False	0	0	False	False	D
GTPBP1	POS_specific	False	False	False	False	0	0	False	False	D
H1-4	POS_specific	False	False	False	False	0	0	False	False	D
H3C1;	POS_specific	False	False	False	False	0	0	False	False	D
HACD3	POS_specific	False	False	False	False	0	0	False	False	D
HBA1;	POS_specific	False	False	False	False	0	0	False	False	D
HDAC1	POS_specific	True	False	False	False	1	0	True	False	C
HEATR1	POS_specific	False	False	False	False	0	0	False	False	D
HNRNPAB	POS_specific	False	False	False	False	0	0	False	False	D
HNRNPD	POS_specific	False	False	False	False	0	0	False	False	D
HNRNPUL1	POS_specific	False	False	False	False	0	0	False	False	D
HSD17B12	POS_specific	False	False	False	False	0	0	False	False	D
HSPA4L	POS_specific	False	False	False	False	0	0	False	False	D
HSPA9	POS_specific	False	False	False	False	0	0	False	False	D
HSPBP1	POS_specific	False	False	False	False	0	0	False	False	D
HSPH1	POS_specific	False	False	False	False	0	0	False	False	D
IDH3B	POS_specific	False	False	False	False	0	0	False	False	D
ILF3	POS_specific	False	False	False	False	0	0	False	False	D
IPO5	POS_specific	False	False	False	False	0	0	False	False	D
ISOC2	POS_specific	False	False	False	False	0	0	False	False	D
KPNA1	POS_specific	False	False	False	False	0	0	False	False	D
LARP7	POS_specific	True	True	False	False	2	0	True	False	C
LPCAT1	POS_specific	False	False	False	False	0	0	False	False	D
LRPPRC	POS_specific	False	False	False	False	0	0	False	False	D
LTV1	POS_specific	False	False	False	False	0	0	False	False	D
LYAR	POS_specific	False	False	False	False	0	0	False	False	D
MAGED1	POS_specific	False	False	False	False	0	0	False	False	D
MAGED2	POS_specific	True	False	False	False	1	0	True	False	C
MAIP1	POS_specific	False	False	False	False	0	0	False	False	D
MAP2K7	POS_specific	False	False	False	False	0	0	False	False	D
MARS1	POS_specific	False	False	False	False	0	0	False	False	D
MLLT3	POS_specific	False	False	False	False	0	0	False	False	D
MOGS	POS_specific	False	False	False	False	0	0	False	False	D
MOV10	POS_specific	False	False	False	False	0	0	False	False	D
MRPL11	POS_specific	False	False	False	False	0	0	False	False	D
MRPL16	POS_specific	False	False	False	False	0	0	False	False	D
MRPL17	POS_specific	False	False	False	False	0	0	False	False	D
MRPL20	POS_specific	False	False	False	False	0	0	False	False	D
MRPL28	POS_specific	False	False	False	False	0	0	False	False	D
MRPL3	POS_specific	False	False	False	False	0	0	False	False	D
MRPL38	POS_specific	False	False	False	False	0	0	False	False	D
MRPL40	POS_specific	False	False	False	False	0	0	False	False	D
MRPL43	POS_specific	False	False	False	False	0	0	False	False	D
MRPS15	POS_specific	False	False	False	False	0	0	False	False	D
MRPS18B	POS_specific	False	False	False	False	0	0	False	False	D
MRPS18C	POS_specific	False	False	False	False	0	0	False	False	D
MRPS27	POS_specific	False	False	False	False	0	0	False	False	D
MRPS30	POS_specific	False	False	False	False	0	0	False	False	D
MRPS35	POS_specific	False	False	False	False	0	0	False	False	D
MSH6	POS_specific	False	False	False	False	0	0	False	False	D
MTPAP	POS_specific	False	False	False	False	0	0	False	False	D
MYBBP1A	POS_specific	False	False	False	False	0	0	False	False	D
NAP1L3	POS_specific	False	False	False	False	0	0	False	False	D
NAT10	POS_specific	False	False	False	False	0	0	False	False	D
NCAPD3	POS_specific	False	False	False	False	0	0	False	False	D
NKRF	POS_specific	False	False	False	False	0	0	False	False	D
NME2	POS_specific	False	False	False	False	0	0	False	False	D
NOM1	POS_specific	False	False	False	False	0	0	False	False	D
NOP58	POS_specific	False	False	False	False	0	0	False	False	D
NOP9	POS_specific	False	False	False	False	0	0	False	False	D
NR2F1	POS_specific	False	False	False	False	0	0	False	False	D
NTPCR	POS_specific	False	False	False	False	0	0	False	False	D
NUP133	POS_specific	False	False	False	False	0	0	False	False	D
NUP205	POS_specific	False	False	False	False	0	0	False	False	D
NUP93	POS_specific	False	False	False	False	0	0	False	False	D
PATL1	POS_specific	False	False	False	False	0	0	False	False	D
PGAM5	POS_specific	False	False	True	True	0	2	False	True	B
PHAX	POS_specific	False	False	False	False	0	0	False	False	D
PHB2	POS_specific	False	False	False	False	0	0	False	False	D
PHGDH	POS_specific	False	False	False	False	0	0	False	False	D
PISD	POS_specific	False	False	False	False	0	0	False	False	D
PLEKHG4	POS_specific	False	False	False	False	0	0	False	False	D
PNO1	POS_specific	False	False	False	False	0	0	False	False	D
POLR2B	POS_specific	False	False	False	False	0	0	False	False	D
PPP1CA	POS_specific	False	False	False	False	0	0	False	False	D
PPP2R2A	POS_specific	False	False	False	False	0	0	False	False	D
PRKDC	POS_specific	False	False	False	False	0	0	False	False	D
PRRC2A	POS_specific	False	False	False	False	0	0	False	False	D
PSMA3	POS_specific	False	False	False	False	0	0	False	False	D
PSMB2	POS_specific	False	False	False	False	0	0	False	False	D
PSMC3	POS_specific	False	False	False	False	0	0	False	False	D
PSMC6	POS_specific	False	False	False	False	0	0	False	False	D
PURA	POS_specific	False	False	False	False	0	0	False	False	D
PWP1	POS_specific	False	False	False	False	0	0	False	False	D
PYM1	POS_specific	False	False	False	False	0	0	False	False	D
RAB35	POS_specific	False	False	False	False	0	0	False	False	D
RACK1	POS_specific	False	False	False	False	0	0	False	False	D
RAN	POS_specific	False	False	False	False	0	0	False	False	D
RBM22	POS_specific	False	False	True	True	0	2	False	True	B
RBM4	POS_specific	False	False	False	False	0	0	False	False	D
RCL1	POS_specific	False	False	False	False	0	0	False	False	D
RCN2	POS_specific	False	False	False	False	0	0	False	False	D
RNGTT	POS_specific	False	False	False	False	0	0	False	False	D
RO60	POS_specific	False	False	False	False	0	0	False	False	D
RPF2	POS_specific	False	False	False	False	0	0	False	False	D
RPL19	POS_specific	True	True	False	False	2	0	True	False	C
RPL23A	POS_specific	False	False	False	False	0	0	False	False	D
RPL26	POS_specific	False	False	False	False	0	0	False	False	D
RPN1	POS_specific	False	False	False	False	0	0	False	False	D
RPP14	POS_specific	False	False	False	False	0	0	False	False	D
RPP40	POS_specific	False	False	False	False	0	0	False	False	D
RPS12	POS_specific	False	False	False	False	0	0	False	False	D
RPS15	POS_specific	True	True	False	False	2	0	True	False	C
RPSA	POS_specific	False	False	False	False	0	0	False	False	D
RUVBL1	POS_specific	False	False	False	False	0	0	False	False	D
SAMHD1	POS_specific	False	False	False	False	0	0	False	False	D
SART3	POS_specific	False	False	False	False	0	0	False	False	D
SEC61A1	POS_specific	False	False	False	False	0	0	False	False	D
SERPINB12	POS_specific	False	False	False	False	0	0	False	False	D
SLC16A1	POS_specific	False	False	False	False	0	0	False	False	D
SLC1A5	POS_specific	False	False	False	False	0	0	False	False	D
SLC25A1	POS_specific	False	False	False	False	0	0	False	False	D
SLC25A11	POS_specific	False	False	False	False	0	0	False	False	D
SLC25A12	POS_specific	False	False	False	False	0	0	False	False	D
SLC25A13	POS_specific	False	False	False	False	0	0	False	False	D
SLC25A22	POS_specific	False	False	False	False	0	0	False	False	D
SLC25A3	POS_specific	False	False	False	False	0	0	False	False	D
SLU7	POS_specific	False	False	False	False	0	0	False	False	D
SLX9	POS_specific	False	False	False	False	0	0	False	False	D
SMC1A	POS_specific	False	False	False	False	0	0	False	False	D
SMC3	POS_specific	False	False	False	False	0	0	False	False	D
SPTLC1	POS_specific	False	False	False	False	0	0	False	False	D
SRPRA	POS_specific	False	False	False	False	0	0	False	False	D
SRPRB	POS_specific	False	False	False	False	0	0	False	False	D
SRSF4	POS_specific	False	False	True	False	0	1	False	True	B
SRSF7	POS_specific	False	False	True	True	0	2	False	True	B
SSBP1	POS_specific	False	False	False	False	0	0	False	False	D
SSR4	POS_specific	False	False	False	False	0	0	False	False	D
STAU1	POS_specific	False	False	False	False	0	0	False	False	D
STUB1	POS_specific	False	False	False	False	0	0	False	False	D
SUPT16H	POS_specific	False	False	False	False	0	0	False	False	D
SYNCRIP	POS_specific	True	True	False	False	2	0	True	False	C
TARS2	POS_specific	False	False	False	False	0	0	False	False	D
TCF25	POS_specific	False	False	False	False	0	0	False	False	D
TECR	POS_specific	False	False	False	False	0	0	False	False	D
TELO2	POS_specific	False	False	False	False	0	0	False	False	D
TFB2M	POS_specific	False	False	False	False	0	0	False	False	D
THEM6	POS_specific	False	False	False	False	0	0	False	False	D
TIMM23	POS_specific	False	False	False	False	0	0	False	False	D
TIMM50	POS_specific	False	False	False	False	0	0	False	False	D
TMCO1	POS_specific	False	False	False	False	0	0	False	False	D
TMEM33	POS_specific	False	False	False	False	0	0	False	False	D
TRA2B	POS_specific	True	True	True	True	2	2	True	True	A
TRIP13	POS_specific	False	False	False	False	0	0	False	False	D
TRMT2A	POS_specific	False	False	False	False	0	0	False	False	D
TTC27	POS_specific	False	False	False	False	0	0	False	False	D
TTC4	POS_specific	False	False	False	False	0	0	False	False	D
TUBB6	POS_specific	False	False	False	False	0	0	False	False	D
TUBGCP2	POS_specific	False	False	False	False	0	0	False	False	D
UBTF	POS_specific	False	False	False	False	0	0	False	False	D
UCK2	POS_specific	False	False	False	False	0	0	False	False	D
UQCRC2	POS_specific	False	False	False	False	0	0	False	False	D
USP22	POS_specific	False	False	False	False	0	0	False	False	D
XPO1	POS_specific	False	False	False	False	0	0	False	False	D
XPO5	POS_specific	False	False	False	False	0	0	False	False	D
XPOT	POS_specific	False	False	False	False	0	0	False	False	D
YBX1	POS_specific	True	True	False	False	2	0	True	False	C
YBX3	POS_specific	False	False	False	False	0	0	False	False	D
YTHDC2	POS_specific	False	False	False	False	0	0	False	False	D
YTHDF2	POS_specific	False	False	False	False	0	0	False	False	D
YWHAB	POS_specific	False	False	False	False	0	0	False	False	D
YWHAE	POS_specific	False	False	False	False	0	0	False	False	D
YWHAG	POS_specific	False	False	False	False	0	0	False	False	D
YWHAH	POS_specific	False	False	False	False	0	0	False	False	D
YWHAQ	POS_specific	False	False	False	False	0	0	False	False	D
YWHAZ	POS_specific	False	False	False	False	0	0	False	False	D
ZNF281	POS_specific	False	False	False	False	0	0	False	False	D
ZNF460	POS_specific	False	False	False	False	0	0	False	False	D
ZNF664	POS_specific	False	False	False	False	0	0	False	False	D
ZNF791	POS_specific	False	False	False	False	0	0	False	False	D
