gene	ex15_list	in_roth_all_baits	in_roth_chtop_sap30bp	in_mabin_all_ejcs	in_mabin_alternate_only	n_roth_scopes	n_mabin_scopes	in_roth	in_mabin	tier
A0A024RAC6	NEG_specific	False	False	False	False	0	0	False	False	D
ADAP1	NEG_specific	False	False	False	False	0	0	False	False	D
AGAP3	NEG_specific	False	False	False	False	0	0	False	False	D
ALKBH5	NEG_specific	False	False	False	False	0	0	False	False	D
APOBEC3C	NEG_specific	False	False	False	False	0	0	False	False	D
AQR	NEG_specific	False	False	True	True	0	2	False	True	B
ARRB1	NEG_specific	False	False	False	False	0	0	False	False	D
BCAS2	NEG_specific	False	False	False	False	0	0	False	False	D
BUD31	NEG_specific	False	False	False	False	0	0	False	False	D
CAAP1	NEG_specific	False	False	False	False	0	0	False	False	D
CACTIN	NEG_specific	False	False	False	False	0	0	False	False	D
CACYBP	NEG_specific	False	False	False	False	0	0	False	False	D
CAMKV	NEG_specific	False	False	False	False	0	0	False	False	D
CARM1	NEG_specific	False	False	False	False	0	0	False	False	D
CCAR1	NEG_specific	False	False	False	False	0	0	False	False	D
CCDC106	NEG_specific	False	False	False	False	0	0	False	False	D
CCNB2	NEG_specific	False	False	False	False	0	0	False	False	D
CCNG1	NEG_specific	False	False	False	False	0	0	False	False	D
CCNL1	NEG_specific	True	True	False	False	2	0	True	False	C
CCNL2	NEG_specific	True	True	False	False	2	0	True	False	C
CCT7	NEG_specific	False	False	False	False	0	0	False	False	D
CD2BP2	NEG_specific	False	False	False	False	0	0	False	False	D
CDC20	NEG_specific	False	False	False	False	0	0	False	False	D
CDK1	NEG_specific	False	False	False	False	0	0	False	False	D
CDK10	NEG_specific	False	False	False	False	0	0	False	False	D
CDK12	NEG_specific	False	False	True	True	0	2	False	True	B
CDK2	NEG_specific	False	False	False	False	0	0	False	False	D
CDK5	NEG_specific	False	False	False	False	0	0	False	False	D
CFAP20	NEG_specific	False	False	False	False	0	0	False	False	D
CHEK1	NEG_specific	False	False	False	False	0	0	False	False	D
CLK1	NEG_specific	False	False	False	False	0	0	False	False	D
CLK2	NEG_specific	False	False	False	False	0	0	False	False	D
CLK4	NEG_specific	False	False	False	False	0	0	False	False	D
CLPB	NEG_specific	False	False	False	False	0	0	False	False	D
CMTR1	NEG_specific	False	False	False	False	0	0	False	False	D
CPSF1	NEG_specific	False	False	False	False	0	0	False	False	D
CPSF6	NEG_specific	False	False	False	False	0	0	False	False	D
CPSF7	NEG_specific	False	False	False	False	0	0	False	False	D
CRNKL1	NEG_specific	False	False	True	True	0	2	False	True	B
CT45A10	NEG_specific	False	False	False	False	0	0	False	False	D
CTNND1	NEG_specific	False	False	False	False	0	0	False	False	D
CTU2	NEG_specific	False	False	False	False	0	0	False	False	D
DAXX	NEG_specific	False	False	False	False	0	0	False	False	D
DDX18	NEG_specific	False	False	False	False	0	0	False	False	D
DDX23	NEG_specific	False	False	False	False	0	0	False	False	D
DDX41	NEG_specific	False	False	True	True	0	2	False	True	B
DDX46	NEG_specific	False	False	False	False	0	0	False	False	D
DDX55	NEG_specific	False	False	False	False	0	0	False	False	D
DEK	NEG_specific	False	False	False	False	0	0	False	False	D
DKC1	NEG_specific	False	False	False	False	0	0	False	False	D
DYRK2	NEG_specific	False	False	False	False	0	0	False	False	D
EGLN1	NEG_specific	False	False	False	False	0	0	False	False	D
EIF2S1	NEG_specific	False	False	False	False	0	0	False	False	D
