gene	ex15_list	in_roth_all_baits	in_roth_chtop_sap30bp	in_mabin_all_ejcs	in_mabin_alternate_only	n_roth_scopes	n_mabin_scopes	in_roth	in_mabin	tier
EIF2S2	NEG_specific	False	False	False	False	0	0	False	False	D
EMG1	NEG_specific	False	False	False	False	0	0	False	False	D
EPS15L1	NEG_specific	False	False	False	False	0	0	False	False	D
ERCC3	NEG_specific	False	False	False	False	0	0	False	False	D
ERCC6L	NEG_specific	False	False	False	False	0	0	False	False	D
FAM76B	NEG_specific	False	False	False	False	0	0	False	False	D
FAM83D	NEG_specific	False	False	False	False	0	0	False	False	D
FBXO5	NEG_specific	False	False	False	False	0	0	False	False	D
FOXK1	NEG_specific	False	False	False	False	0	0	False	False	D
FOXK2	NEG_specific	False	False	False	False	0	0	False	False	D
GRK5	NEG_specific	False	False	False	False	0	0	False	False	D
GRK6	NEG_specific	False	False	False	False	0	0	False	False	D
GTF2B	NEG_specific	False	False	False	False	0	0	False	False	D
GTF2H1	NEG_specific	False	False	False	False	0	0	False	False	D
GTF2H4	NEG_specific	False	False	False	False	0	0	False	False	D
GTF3C3	NEG_specific	False	False	False	False	0	0	False	False	D
H2BC20P	NEG_specific	False	False	False	False	0	0	False	False	D
HMMR	NEG_specific	False	False	False	False	0	0	False	False	D
IPPK	NEG_specific	False	False	False	False	0	0	False	False	D
JPH1	NEG_specific	False	False	False	False	0	0	False	False	D
KATNA1	NEG_specific	False	False	False	False	0	0	False	False	D
KATNB1	NEG_specific	False	False	False	False	0	0	False	False	D
KIF2C	NEG_specific	False	False	False	False	0	0	False	False	D
KIF5B	NEG_specific	False	False	False	False	0	0	False	False	D
KIFC1	NEG_specific	False	False	False	False	0	0	False	False	D
LANCL2	NEG_specific	False	False	False	False	0	0	False	False	D
LSM2	NEG_specific	False	False	False	False	0	0	False	False	D
LSM3	NEG_specific	False	False	False	False	0	0	False	False	D
LSM8	NEG_specific	False	False	False	False	0	0	False	False	D
MAP4K4	NEG_specific	False	False	False	False	0	0	False	False	D
MAPK1	NEG_specific	False	False	False	False	0	0	False	False	D
MARK3	NEG_specific	False	False	False	False	0	0	False	False	D
MCAT	NEG_specific	False	False	False	False	0	0	False	False	D
MCRS1	NEG_specific	True	False	False	False	1	0	True	False	C
MMTAG2	NEG_specific	False	False	False	False	0	0	False	False	D
MORC2	NEG_specific	False	False	False	False	0	0	False	False	D
MPG	NEG_specific	False	False	False	False	0	0	False	False	D
MRPL46	NEG_specific	False	False	False	False	0	0	False	False	D
MRPL48	NEG_specific	False	False	False	False	0	0	False	False	D
MTERF1	NEG_specific	False	False	False	False	0	0	False	False	D
MTMR1	NEG_specific	False	False	False	False	0	0	False	False	D
MTREX	NEG_specific	False	False	False	False	0	0	False	False	D
NAA10	NEG_specific	False	False	False	False	0	0	False	False	D
NECAP1	NEG_specific	False	False	False	False	0	0	False	False	D
NHP2	NEG_specific	False	False	False	False	0	0	False	False	D
NOSIP	NEG_specific	False	False	False	False	0	0	False	False	D
NSRP1	NEG_specific	False	False	False	False	0	0	False	False	D
NUDT11	NEG_specific	False	False	False	False	0	0	False	False	D
NUMB	NEG_specific	False	False	False	False	0	0	False	False	D
NUSAP1	NEG_specific	False	False	False	False	0	0	False	False	D
OBSL1	NEG_specific	False	False	False	False	0	0	False	False	D
OCRL	NEG_specific	False	False	False	False	0	0	False	False	D
PDCD2	NEG_specific	False	False	False	False	0	0	False	False	D
PHF3	NEG_specific	False	False	False	False	0	0	False	False	D
PICALM	NEG_specific	False	False	False	False	0	0	False	False	D
PIP4K2A	NEG_specific	False	False	False	False	0	0	False	False	D
PIP4K2C	NEG_specific	True	False	False	False	1	0	True	False	C
PIP5K1A	NEG_specific	False	False	False	False	0	0	False	False	D
PLCD3	NEG_specific	False	False	False	False	0	0	False	False	D
PNISR	NEG_specific	False	False	False	False	0	0	False	False	D
PPIH	NEG_specific	False	False	False	False	0	0	False	False	D
PPIL4	NEG_specific	False	False	False	False	0	0	False	False	D
PRPF3	NEG_specific	False	False	False	False	0	0	False	False	D
PRPF38A	NEG_specific	False	False	False	False	0	0	False	False	D
PRPF38B	NEG_specific	False	False	False	False	0	0	False	False	D
PRPF4	NEG_specific	False	False	False	False	0	0	False	False	D
PUS1	NEG_specific	False	False	False	False	0	0	False	False	D
PYCR3	NEG_specific	False	False	False	False	0	0	False	False	D
RBBP6	NEG_specific	False	False	True	True	0	2	False	True	B
RBM15	NEG_specific	True	True	False	False	2	0	True	False	C
RBM26	NEG_specific	False	False	False	False	0	0	False	False	D
RBM39	NEG_specific	False	False	True	True	0	2	False	True	B
RECQL4	NEG_specific	False	False	False	False	0	0	False	False	D
RNF2	NEG_specific	True	False	False	False	1	0	True	False	C
RNPC3	NEG_specific	False	False	False	False	0	0	False	False	D
RPL39	NEG_specific	False	False	False	False	0	0	False	False	D
RPRD1A	NEG_specific	False	False	False	False	0	0	False	False	D
RPUSD3	NEG_specific	False	False	False	False	0	0	False	False	D
RRP1	NEG_specific	False	False	False	False	0	0	False	False	D
RRP7A	NEG_specific	False	False	False	False	0	0	False	False	D
SART1	NEG_specific	False	False	False	False	0	0	False	False	D
SBF1	NEG_specific	False	False	False	False	0	0	False	False	D
SCAF1	NEG_specific	False	False	True	True	0	2	False	True	B
SCAF11	NEG_specific	False	False	False	False	0	0	False	False	D
SCAF4	NEG_specific	False	False	False	False	0	0	False	False	D
SDHB	NEG_specific	False	False	False	False	0	0	False	False	D
SETD2	NEG_specific	False	False	False	False	0	0	False	False	D
SFSWAP	NEG_specific	False	False	False	False	0	0	False	False	D
SHMT2	NEG_specific	False	False	False	False	0	0	False	False	D
SLIT2	NEG_specific	False	False	False	False	0	0	False	False	D
SLTM	NEG_specific	False	False	False	False	0	0	False	False	D
SMC5	NEG_specific	False	False	False	False	0	0	False	False	D
SMU1	NEG_specific	False	False	True	True	0	2	False	True	B
SNRNP40	NEG_specific	True	True	False	False	2	0	True	False	C
SNX8	NEG_specific	False	False	False	False	0	0	False	False	D
SON	NEG_specific	True	True	True	True	2	2	True	True	A
SREK1	NEG_specific	True	True	False	False	2	0	True	False	C
SRRM1	NEG_specific	False	False	True	True	0	2	False	True	B
SRRM3	NEG_specific	False	False	False	False	0	0	False	False	D
TBC1D10B	NEG_specific	False	False	False	False	0	0	False	False	D
TBCCD1	NEG_specific	False	False	False	False	0	0	False	False	D
TFIP11	NEG_specific	False	False	False	False	0	0	False	False	D
THOC1	NEG_specific	True	True	False	False	2	0	True	False	C
THOC5	NEG_specific	True	True	False	False	2	0	True	False	C
TOPBP1	NEG_specific	False	False	False	False	0	0	False	False	D
TP53	NEG_specific	False	False	False	False	0	0	False	False	D
TRIM14	NEG_specific	False	False	False	False	0	0	False	False	D
TRIP12	NEG_specific	False	False	False	False	0	0	False	False	D
TRMT2B	NEG_specific	False	False	False	False	0	0	False	False	D
TUT7	NEG_specific	False	False	False	False	0	0	False	False	D
TXNL4A	NEG_specific	False	False	False	False	0	0	False	False	D
U2AF1	NEG_specific	False	False	False	False	0	0	False	False	D
U2AF2	NEG_specific	False	False	True	True	0	2	False	True	B
UPF1	NEG_specific	False	False	False	False	0	0	False	False	D
USP42	NEG_specific	False	False	False	False	0	0	False	False	D
USP46	NEG_specific	False	False	False	False	0	0	False	False	D
UTP15	NEG_specific	False	False	False	False	0	0	False	False	D
UTP6	NEG_specific	False	False	False	False	0	0	False	False	D
VANGL1	NEG_specific	False	False	False	False	0	0	False	False	D
WDR33	NEG_specific	False	False	False	False	0	0	False	False	D
WTAP	NEG_specific	False	False	False	False	0	0	False	False	D
XAB2	NEG_specific	False	False	True	True	0	2	False	True	B
ZC3H13	NEG_specific	False	False	False	False	0	0	False	False	D
ZNF638	NEG_specific	False	False	False	False	0	0	False	False	D
ZNF771	NEG_specific	False	False	False	False	0	0	False	False	D
