gene	ex15_list	in_roth_all_baits	in_roth_chtop_sap30bp	in_mabin_all_ejcs	in_mabin_alternate_only	n_roth_scopes	n_mabin_scopes	in_roth	in_mabin	tier
ABCF1	common	False	False	False	False	0	0	False	False	D
ABCF2	common	False	False	False	False	0	0	False	False	D
ABT1	common	False	False	False	False	0	0	False	False	D
ACIN1	common	True	True	True	True	2	2	True	True	A
AFF4	common	True	False	False	False	1	0	True	False	C
AKAP17A	common	False	False	False	False	0	0	False	False	D
AP2A1	common	False	False	False	False	0	0	False	False	D
AP2A2	common	False	False	False	False	0	0	False	False	D
AP2B1	common	False	False	False	False	0	0	False	False	D
AP2M1	common	False	False	False	False	0	0	False	False	D
AP2S1	common	False	False	False	False	0	0	False	False	D
ARHGEF2	common	False	False	False	False	0	0	False	False	D
ARRB2	common	False	False	False	False	0	0	False	False	D
ATP5PO	common	False	False	False	False	0	0	False	False	D
BOP1	common	False	False	False	False	0	0	False	False	D
BYSL	common	False	False	False	False	0	0	False	False	D
C1QBP	common	True	True	False	False	2	0	True	False	C
CCNB1	common	False	False	False	False	0	0	False	False	D
CCNK	common	False	False	True	True	0	2	False	True	B
CCT4	common	False	False	False	False	0	0	False	False	D
CDK11B	common	True	True	False	False	2	0	True	False	C
CDK9	common	True	False	False	False	1	0	True	False	C
CEP170	common	False	False	False	False	0	0	False	False	D
CHCHD2	common	False	False	False	False	0	0	False	False	D
CHD1	common	False	False	False	False	0	0	False	False	D
CLK3	common	False	False	False	False	0	0	False	False	D
CLPX	common	False	False	False	False	0	0	False	False	D
COL1A1	common	False	False	False	False	0	0	False	False	D
COPA	common	False	False	False	False	0	0	False	False	D
COPE	common	False	False	False	False	0	0	False	False	D
CPSF2	common	False	False	False	False	0	0	False	False	D
CPSF3	common	False	False	False	False	0	0	False	False	D
CPSF4	common	False	False	False	False	0	0	False	False	D
CSNK1A1	common	False	False	False	False	0	0	False	False	D
CSNK1E	common	False	False	False	False	0	0	False	False	D
CSNK1G3	common	False	False	False	False	0	0	False	False	D
CSNK2A1	common	True	True	True	True	2	2	True	True	A
CSNK2A2	common	True	True	False	False	2	0	True	False	C
CSNK2B	common	True	True	False	False	2	0	True	False	C
CWC22	common	False	False	True	True	0	2	False	True	B
CWC27	common	False	False	False	False	0	0	False	False	D
DAP3	common	False	False	False	False	0	0	False	False	D
DARS2	common	False	False	False	False	0	0	False	False	D
DDB1	common	False	False	False	False	0	0	False	False	D
DDX10	common	False	False	False	False	0	0	False	False	D
DDX20	common	False	False	False	False	0	0	False	False	D
DDX39B	common	True	True	False	False	2	0	True	False	C
DDX47	common	False	False	False	False	0	0	False	False	D
DDX49	common	False	False	False	False	0	0	False	False	D
DDX50	common	False	False	False	False	0	0	False	False	D
