ACINU_HUMAN	ACIN1
AQR_HUMAN	AQR
BCLF1_HUMAN	BCLAF1
CASC3_HUMAN	CASC3
CCDC9_HUMAN	CCDC9
CCNK_HUMAN	CCNK
CDC5L_HUMAN	CDC5L
CDK12_HUMAN	CDK12
CRNL1_HUMAN	CRNKL1
CSK21_HUMAN	CSNK2A1
CWC22_HUMAN	CWC22
DDX41_HUMAN	DDX41
DHX8_HUMAN	DHX8
FIP1_HUMAN	FIP1L1
GPTC8_HUMAN	GPATCH8
H2A1A_HUMAN	H2AC1
H4_HUMAN	H4C1
HNRPF_HUMAN	HNRNPF
IF4A3_HUMAN	EIF4A3
LC7L2_HUMAN	LUC7L2
LC7L3_HUMAN	LUC7L3
MGN_HUMAN	MAGOH
NKTR_HUMAN	NKTR
OAT_HUMAN	OAT
PAXB1_HUMAN	PAXBP1
PCBP1_HUMAN	PCBP1
PGAM5_HUMAN	PGAM5
PININ_HUMAN	PNN
PLRG1_HUMAN	PLRG1
PPIG_HUMAN	PPIG
PR40A_HUMAN	PRPF40A
PRP17_HUMAN	CDC40
PRP4B_HUMAN	PRP4B
PRP4K_HUMAN	PRP4K
PRP8_HUMAN	PRPF8
RBBP6_HUMAN	RBBP6
RBM22_HUMAN	RBM22
RBM25_HUMAN	RBM25
RBM39_HUMAN	RBM39
RBM8A_HUMAN	RBM8A
RBMX_HUMAN	RBMX
REN3B_HUMAN	UPF3B
RL3_HUMAN	RPL3
RL4_HUMAN	RPL4
RM03_HUMAN	MRPL3
RNPS1_HUMAN	RNPS1
RS4X_HUMAN	RPS4X
RU2A_HUMAN	SNRPA1
SAP18_HUMAN	SAP18
SCML1_HUMAN	SCML1
SFR19_HUMAN	SCAF1
SMU1_HUMAN	SMU1
SNIP1_HUMAN	SNIP1
SNW1_HUMAN	SNW1
SON_HUMAN	SON
SRRM1_HUMAN	SRRM1
SRRM2_HUMAN	SRRM2
SRRT_HUMAN	SRRT
SRS10_HUMAN	SRSF10
SRSF1_HUMAN	SRSF1
SRSF3_HUMAN	SRSF3
SRSF4_HUMAN	SRSF4
SRSF6_HUMAN	SRSF6
SRSF7_HUMAN	SRSF7
SRSF9_HUMAN	SRSF9
SYF1_HUMAN	XAB2
TR150_HUMAN	THRAP3
TRA2A_HUMAN	TRA2A
TRA2B_HUMAN	TRA2B
U2AF2_HUMAN	U2AF2
U5S1_HUMAN	EFTUD2
XRCC6_HUMAN	XRCC6
ZC3HE_HUMAN	ZC3H14
ZCH18_HUMAN	ZC3H18
